Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C-1_R1_val_1	81.18482687383718	41.0	118.67467708944227	137	20.0	52222046.0
C-1_R2_val_2	80.62757890394704	41.0	118.66542270289449	137	20.0	52222046.0
C-2_R1_val_1	77.0815588777323	40.0	108.40692781693502	107	20.0	27232648.0
C-2_R2_val_2	73.12170373097459	40.0	108.45749252882055	107	20.0	27232648.0
C-3_R1_val_1	74.41941343446929	40.0	120.44809875058228	142	20.0	33208189.0
C-3_R2_val_2	72.53968338543265	40.0	120.39435577170438	142	20.0	33208189.0
O-1_R1_val_1	83.45382849006782	41.0	106.72758816194774	107	20.0	29488601.0
O-1_R2_val_2	80.1904380085069	41.0	106.6799920077592	107	20.0	29488601.0
O-2_R1_val_1	85.5907772413992	43.0	99.85516431455915	97	20.0	28731538.0
O-2_R2_val_2	79.19787412155121	43.0	99.95774921620973	97	20.0	28731538.0
O-3_R1_val_1	76.5171511727711	40.0	99.28215542416571	92	20.0	21502422.0
O-3_R2_val_2	74.21423480073112	40.0	99.31356965275819	92	20.0	21502422.0
