三条件共同作用基因统计
============================================================
genes_top50 总基因数: 1626
稳定高表达基因数: 2927
三条件共同的基因数: 717

前20个基因（按 n_unique_peaks 降序）:
gene_name,n_relations,n_unique_peaks,strands
YAL021C,1,1,-
YAL023C,1,1,-
YAL030W,1,1,+
YAL035W,1,1,+
YAL036C,1,1,-
YAL038W,1,1,+
YAL039C,1,1,-
YAL040C,1,1,-
YAL049C,1,1,-
YAL055W,1,1,+
YAR002W,1,1,+
YBL007C,1,1,-
YBL015W,1,1,+
YBL016W,1,1,+
YBL020W,1,1,+
YBL028C,1,1,-
YBL036C,1,1,-
YBL040C,1,1,-
YBL041W,1,1,+
YBL047C,1,1,-
